OrderDate;Year;Month;YearMonth;Quarter;YearQtr;Week
9/6/2011;2011;Sep;sep-2011;Q3;2011-Q3;36
9/13/2011;2011;Sep;sep-2011;Q3;2011-Q3;37
6/24/2013;2013;Jun;jun-2013;Q2;2013-Q2;26
7/20/2011;2011;Jul;jul-2011;Q3;2011-Q3;29
4/16/2013;2013;Apr;apr-2013;Q2;2013-Q2;16
1/16/2011;2011;Jan;jan-2011;Q1;2011-Q1;2
10/22/2012;2012;Oct;okt-2012;Q4;2012-Q4;43
2/13/2011;2011;Feb;feb-2011;Q1;2011-Q1;6
3/1/2011;2011;Mar;mrt-2011;Q1;2011-Q1;9
4/13/2013;2013;Apr;apr-2013;Q2;2013-Q2;15
2/14/2011;2011;Feb;feb-2011;Q1;2011-Q1;7
8/7/2012;2012;Aug;aug-2012;Q3;2012-Q3;32
4/21/2013;2013;Apr;apr-2013;Q2;2013-Q2;16
6/5/2013;2013;Jun;jun-2013;Q2;2013-Q2;23
6/6/2013;2013;Jun;jun-2013;Q2;2013-Q2;23
7/19/2012;2012;Jul;jul-2012;Q3;2012-Q3;29
5/15/2013;2013;May;mei-2013;Q2;2013-Q2;20
7/25/2012;2012;Jul;jul-2012;Q3;2012-Q3;30
2/20/2011;2011;Feb;feb-2011;Q1;2011-Q1;7
2/16/2013;2013;Feb;feb-2013;Q1;2013-Q1;7
6/12/2013;2013;Jun;jun-2013;Q2;2013-Q2;24
6/21/2012;2012;Jun;jun-2012;Q2;2012-Q2;25
6/13/2012;2012;Jun;jun-2012;Q2;2012-Q2;24
6/10/2012;2012;Jun;jun-2012;Q2;2012-Q2;23
6/23/2012;2012;Jun;jun-2012;Q2;2012-Q2;25
6/19/2012;2012;Jun;jun-2012;Q2;2012-Q2;25
6/6/2012;2012;Jun;jun-2012;Q2;2012-Q2;23
4/22/2013;2013;Apr;apr-2013;Q2;2013-Q2;17
5/24/2012;2012;May;mei-2012;Q2;2012-Q2;21
8/11/2012;2012;Aug;aug-2012;Q3;2012-Q3;32
6/1/2012;2012;Jun;jun-2012;Q2;2012-Q2;22
5/20/2012;2012;May;mei-2012;Q2;2012-Q2;20
5/28/2012;2012;May;mei-2012;Q2;2012-Q2;22
5/13/2012;2012;May;mei-2012;Q2;2012-Q2;19
4/4/2012;2012;Apr;apr-2012;Q2;2012-Q2;14
3/15/2013;2013;Mar;mrt-2013;Q1;2013-Q1;11
4/27/2013;2013;Apr;apr-2013;Q2;2013-Q2;17
5/30/2012;2012;May;mei-2012;Q2;2012-Q2;22
5/27/2012;2012;May;mei-2012;Q2;2012-Q2;21
4/20/2012;2012;Apr;apr-2012;Q2;2012-Q2;16
4/27/2012;2012;Apr;apr-2012;Q2;2012-Q2;17
4/28/2013;2013;Apr;apr-2013;Q2;2013-Q2;17
11/30/2011;2011;Nov;nov-2011;Q4;2011-Q4;48
9/30/2011;2011;Sep;sep-2011;Q3;2011-Q3;39
2/11/2012;2012;Feb;feb-2012;Q1;2012-Q1;6
9/18/2011;2011;Sep;sep-2011;Q3;2011-Q3;37
2/20/2012;2012;Feb;feb-2012;Q1;2012-Q1;8
3/1/2012;2012;Mar;mrt-2012;Q1;2012-Q1;9
6/5/2011;2011;Jun;jun-2011;Q2;2011-Q2;22
1/23/2013;2013;Jan;jan-2013;Q1;2013-Q1;4
5/1/2012;2012;May;mei-2012;Q2;2012-Q2;18
4/8/2012;2012;Apr;apr-2012;Q2;2012-Q2;14
4/5/2012;2012;Apr;apr-2012;Q2;2012-Q2;14
12/11/2012;2012;Dec;dec-2012;Q4;2012-Q4;50
7/3/2012;2012;Jul;jul-2012;Q3;2012-Q3;27
5/19/2013;2013;May;mei-2013;Q2;2013-Q2;20
2/4/2012;2012;Feb;feb-2012;Q1;2012-Q1;5
1/16/2012;2012;Jan;jan-2012;Q1;2012-Q1;3
4/17/2013;2013;Apr;apr-2013;Q2;2013-Q2;16
2/25/2012;2012;Feb;feb-2012;Q1;2012-Q1;8
1/17/2012;2012;Jan;jan-2012;Q1;2012-Q1;3
1/21/2012;2012;Jan;jan-2012;Q1;2012-Q1;3
1/22/2012;2012;Jan;jan-2012;Q1;2012-Q1;3
2/10/2013;2013;Feb;feb-2013;Q1;2013-Q1;6
1/19/2012;2012;Jan;jan-2012;Q1;2012-Q1;3
2/22/2012;2012;Feb;feb-2012;Q1;2012-Q1;8
2/5/2012;2012;Feb;feb-2012;Q1;2012-Q1;5
7/2/2012;2012;Jul;jul-2012;Q3;2012-Q3;27
7/20/2012;2012;Jul;jul-2012;Q3;2012-Q3;29
1/10/2012;2012;Jan;jan-2012;Q1;2012-Q1;2
12/13/2011;2011;Dec;dec-2011;Q4;2011-Q4;50
12/28/2011;2011;Dec;dec-2011;Q4;2011-Q4;52
12/26/2011;2011;Dec;dec-2011;Q4;2011-Q4;52
12/12/2011;2011;Dec;dec-2011;Q4;2011-Q4;50
11/25/2011;2011;Nov;nov-2011;Q4;2011-Q4;47
8/18/2012;2012;Aug;aug-2012;Q3;2012-Q3;33
11/9/2011;2011;Nov;nov-2011;Q4;2011-Q4;45
8/16/2012;2012;Aug;aug-2012;Q3;2012-Q3;33
6/11/2013;2013;Jun;jun-2013;Q2;2013-Q2;24
10/20/2011;2011;Oct;okt-2011;Q4;2011-Q4;42
10/19/2011;2011;Oct;okt-2011;Q4;2011-Q4;42
9/28/2011;2011;Sep;sep-2011;Q3;2011-Q3;39
8/10/2011;2011;Aug;aug-2011;Q3;2011-Q3;32
5/5/2012;2012;May;mei-2012;Q2;2012-Q2;18
6/20/2013;2013;Jun;jun-2013;Q2;2013-Q2;25
5/29/2012;2012;May;mei-2012;Q2;2012-Q2;22
7/11/2011;2011;Jul;jul-2011;Q3;2011-Q3;28
7/27/2011;2011;Jul;jul-2011;Q3;2011-Q3;30
3/11/2012;2012;Mar;mrt-2012;Q1;2012-Q1;10
7/15/2011;2011;Jul;jul-2011;Q3;2011-Q3;28
10/28/2011;2011;Oct;okt-2011;Q4;2011-Q4;43
10/15/2011;2011;Oct;okt-2011;Q4;2011-Q4;41
9/25/2011;2011;Sep;sep-2011;Q3;2011-Q3;38
10/2/2011;2011;Oct;okt-2011;Q4;2011-Q4;39
9/22/2011;2011;Sep;sep-2011;Q3;2011-Q3;38
12/6/2012;2012;Dec;dec-2012;Q4;2012-Q4;49
6/15/2011;2011;Jun;jun-2011;Q2;2011-Q2;24
5/26/2011;2011;May;mei-2011;Q2;2011-Q2;21
5/7/2011;2011;May;mei-2011;Q2;2011-Q2;18
6/2/2011;2011;Jun;jun-2011;Q2;2011-Q2;22
6/1/2011;2011;Jun;jun-2011;Q2;2011-Q2;22
5/23/2011;2011;May;mei-2011;Q2;2011-Q2;21
4/6/2011;2011;Apr;apr-2011;Q2;2011-Q2;14
4/7/2013;2013;Apr;apr-2013;Q2;2013-Q2;14
9/2/2011;2011;Sep;sep-2011;Q3;2011-Q3;35
8/13/2011;2011;Aug;aug-2011;Q3;2011-Q3;32
7/12/2011;2011;Jul;jul-2011;Q3;2011-Q3;28
3/10/2011;2011;Mar;mrt-2011;Q1;2011-Q1;10
3/13/2011;2011;Mar;mrt-2011;Q1;2011-Q1;10
12/30/2011;2011;Dec;dec-2011;Q4;2011-Q4;52
10/22/2011;2011;Oct;okt-2011;Q4;2011-Q4;42
10/24/2011;2011;Oct;okt-2011;Q4;2011-Q4;43
2/11/2011;2011;Feb;feb-2011;Q1;2011-Q1;6
4/12/2011;2011;Apr;apr-2011;Q2;2011-Q2;15
1/1/2013;2013;Jan;jan-2013;Q1;2013-Q1;1
3/14/2011;2011;Mar;mrt-2011;Q1;2011-Q1;11
9/27/2012;2012;Sep;sep-2012;Q3;2012-Q3;39
7/14/2012;2012;Jul;jul-2012;Q3;2012-Q3;28
2/17/2011;2011;Feb;feb-2011;Q1;2011-Q1;7
9/15/2012;2012;Sep;sep-2012;Q3;2012-Q3;37
1/24/2013;2013;Jan;jan-2013;Q1;2013-Q1;4
4/2/2013;2013;Apr;apr-2013;Q2;2013-Q2;14
12/24/2012;2012;Dec;dec-2012;Q4;2012-Q4;52
8/9/2011;2011;Aug;aug-2011;Q3;2011-Q3;32
8/29/2011;2011;Aug;aug-2011;Q3;2011-Q3;35
10/23/2012;2012;Oct;okt-2012;Q4;2012-Q4;43
9/18/2012;2012;Sep;sep-2012;Q3;2012-Q3;38
12/17/2012;2012;Dec;dec-2012;Q4;2012-Q4;51
6/16/2012;2012;Jun;jun-2012;Q2;2012-Q2;24
8/5/2012;2012;Aug;aug-2012;Q3;2012-Q3;31
11/29/2012;2012;Nov;nov-2012;Q4;2012-Q4;48
7/17/2011;2011;Jul;jul-2011;Q3;2011-Q3;28
7/19/2011;2011;Jul;jul-2011;Q3;2011-Q3;29
10/28/2012;2012;Oct;okt-2012;Q4;2012-Q4;43
9/22/2012;2012;Sep;sep-2012;Q3;2012-Q3;38
5/14/2013;2013;May;mei-2013;Q2;2013-Q2;20
1/13/2012;2012;Jan;jan-2012;Q1;2012-Q1;2
12/11/2011;2011;Dec;dec-2011;Q4;2011-Q4;49
10/27/2011;2011;Oct;okt-2011;Q4;2011-Q4;43
9/11/2012;2012;Sep;sep-2012;Q3;2012-Q3;37
6/19/2011;2011;Jun;jun-2011;Q2;2011-Q2;24
10/26/2012;2012;Oct;okt-2012;Q4;2012-Q4;43
1/9/2013;2013;Jan;jan-2013;Q1;2013-Q1;2
9/16/2012;2012;Sep;sep-2012;Q3;2012-Q3;37
9/19/2011;2011;Sep;sep-2011;Q3;2011-Q3;38
7/18/2012;2012;Jul;jul-2012;Q3;2012-Q3;29
6/29/2012;2012;Jun;jun-2012;Q2;2012-Q2;26
4/19/2013;2013;Apr;apr-2013;Q2;2013-Q2;16
6/15/2012;2012;Jun;jun-2012;Q2;2012-Q2;24
6/12/2012;2012;Jun;jun-2012;Q2;2012-Q2;24
6/11/2012;2012;Jun;jun-2012;Q2;2012-Q2;24
5/7/2012;2012;May;mei-2012;Q2;2012-Q2;19
11/16/2012;2012;Nov;nov-2012;Q4;2012-Q4;46
7/17/2012;2012;Jul;jul-2012;Q3;2012-Q3;29
7/27/2012;2012;Jul;jul-2012;Q3;2012-Q3;30
5/23/2012;2012;May;mei-2012;Q2;2012-Q2;21
5/2/2013;2013;May;mei-2013;Q2;2013-Q2;18
12/31/2012;2012;Dec;dec-2012;Q4;2012-Q4;1
5/10/2012;2012;May;mei-2012;Q2;2012-Q2;19
5/19/2012;2012;May;mei-2012;Q2;2012-Q2;20
5/4/2012;2012;May;mei-2012;Q2;2012-Q2;18
4/24/2012;2012;Apr;apr-2012;Q2;2012-Q2;17
4/18/2012;2012;Apr;apr-2012;Q2;2012-Q2;16
4/12/2012;2012;Apr;apr-2012;Q2;2012-Q2;15
4/30/2012;2012;Apr;apr-2012;Q2;2012-Q2;18
4/24/2013;2013;Apr;apr-2013;Q2;2013-Q2;17
11/25/2012;2012;Nov;nov-2012;Q4;2012-Q4;47
3/31/2013;2013;Mar;mrt-2013;Q1;2013-Q1;13
3/30/2012;2012;Mar;mrt-2012;Q1;2012-Q1;13
4/1/2012;2012;Apr;apr-2012;Q2;2012-Q2;13
2/22/2013;2013;Feb;feb-2013;Q1;2013-Q1;8
11/21/2012;2012;Nov;nov-2012;Q4;2012-Q4;47
3/4/2013;2013;Mar;mrt-2013;Q1;2013-Q1;10
3/22/2013;2013;Mar;mrt-2013;Q1;2013-Q1;12
2/17/2013;2013;Feb;feb-2013;Q1;2013-Q1;7
5/19/2011;2011;May;mei-2011;Q2;2011-Q2;20
4/24/2011;2011;Apr;apr-2011;Q2;2011-Q2;16
5/6/2013;2013;May;mei-2013;Q2;2013-Q2;19
5/20/2013;2013;May;mei-2013;Q2;2013-Q2;21
4/19/2011;2011;Apr;apr-2011;Q2;2011-Q2;16
2/12/2012;2012;Feb;feb-2012;Q1;2012-Q1;6
1/5/2013;2013;Jan;jan-2013;Q1;2013-Q1;1
10/29/2012;2012;Oct;okt-2012;Q4;2012-Q4;44
1/16/2013;2013;Jan;jan-2013;Q1;2013-Q1;3
2/27/2012;2012;Feb;feb-2012;Q1;2012-Q1;9
3/30/2013;2013;Mar;mrt-2013;Q1;2013-Q1;13
5/26/2013;2013;May;mei-2013;Q2;2013-Q2;21
2/17/2012;2012;Feb;feb-2012;Q1;2012-Q1;7
1/29/2012;2012;Jan;jan-2012;Q1;2012-Q1;4
1/6/2012;2012;Jan;jan-2012;Q1;2012-Q1;1
9/1/2012;2012;Sep;sep-2012;Q3;2012-Q3;35
3/9/2013;2013;Mar;mrt-2013;Q1;2013-Q1;10
1/5/2012;2012;Jan;jan-2012;Q1;2012-Q1;1
2/2/2012;2012;Feb;feb-2012;Q1;2012-Q1;5
1/8/2012;2012;Jan;jan-2012;Q1;2012-Q1;1
3/12/2011;2011;Mar;mrt-2011;Q1;2011-Q1;10
10/20/2012;2012;Oct;okt-2012;Q4;2012-Q4;42
4/2/2011;2011;Apr;apr-2011;Q2;2011-Q2;13
5/30/2013;2013;May;mei-2013;Q2;2013-Q2;22
12/15/2012;2012;Dec;dec-2012;Q4;2012-Q4;50
7/6/2012;2012;Jul;jul-2012;Q3;2012-Q3;27
2/19/2011;2011;Feb;feb-2011;Q1;2011-Q1;7
8/19/2012;2012;Aug;aug-2012;Q3;2012-Q3;33
11/15/2012;2012;Nov;nov-2012;Q4;2012-Q4;46
2/28/2011;2011;Feb;feb-2011;Q1;2011-Q1;9
1/10/2011;2011;Jan;jan-2011;Q1;2011-Q1;2
12/15/2011;2011;Dec;dec-2011;Q4;2011-Q4;50
12/10/2011;2011;Dec;dec-2011;Q4;2011-Q4;49
1/1/2012;2012;Jan;jan-2012;Q1;2012-Q1;52
12/4/2011;2011;Dec;dec-2011;Q4;2011-Q4;48
12/9/2011;2011;Dec;dec-2011;Q4;2011-Q4;49
11/26/2011;2011;Nov;nov-2011;Q4;2011-Q4;47
12/10/2012;2012;Dec;dec-2012;Q4;2012-Q4;50
1/20/2013;2013;Jan;jan-2013;Q1;2013-Q1;3
3/26/2013;2013;Mar;mrt-2013;Q1;2013-Q1;13
7/11/2012;2012;Jul;jul-2012;Q3;2012-Q3;28
7/24/2012;2012;Jul;jul-2012;Q3;2012-Q3;30
3/1/2013;2013;Mar;mrt-2013;Q1;2013-Q1;9
7/15/2012;2012;Jul;jul-2012;Q3;2012-Q3;28
11/3/2012;2012;Nov;nov-2012;Q4;2012-Q4;44
11/5/2011;2011;Nov;nov-2011;Q4;2011-Q4;44
11/19/2011;2011;Nov;nov-2011;Q4;2011-Q4;46
11/4/2011;2011;Nov;nov-2011;Q4;2011-Q4;44
4/14/2013;2013;Apr;apr-2013;Q2;2013-Q2;15
8/26/2012;2012;Aug;aug-2012;Q3;2012-Q3;34
7/28/2012;2012;Jul;jul-2012;Q3;2012-Q3;30
11/22/2011;2011;Nov;nov-2011;Q4;2011-Q4;47
11/20/2011;2011;Nov;nov-2011;Q4;2011-Q4;46
11/6/2012;2012;Nov;nov-2012;Q4;2012-Q4;45
1/31/2013;2013;Jan;jan-2013;Q1;2013-Q1;5
12/9/2012;2012;Dec;dec-2012;Q4;2012-Q4;49
12/30/2012;2012;Dec;dec-2012;Q4;2012-Q4;52
11/10/2011;2011;Nov;nov-2011;Q4;2011-Q4;45
10/30/2011;2011;Oct;okt-2011;Q4;2011-Q4;43
1/7/2013;2013;Jan;jan-2013;Q1;2013-Q1;2
12/25/2012;2012;Dec;dec-2012;Q4;2012-Q4;52
10/17/2012;2012;Oct;okt-2012;Q4;2012-Q4;42
1/12/2013;2013;Jan;jan-2013;Q1;2013-Q1;2
10/4/2012;2012;Oct;okt-2012;Q4;2012-Q4;40
10/14/2012;2012;Oct;okt-2012;Q4;2012-Q4;41
10/5/2011;2011;Oct;okt-2011;Q4;2011-Q4;40
9/27/2011;2011;Sep;sep-2011;Q3;2011-Q3;39
5/13/2013;2013;May;mei-2013;Q2;2013-Q2;20
11/30/2012;2012;Nov;nov-2012;Q4;2012-Q4;48
9/12/2011;2011;Sep;sep-2011;Q3;2011-Q3;37
9/14/2011;2011;Sep;sep-2011;Q3;2011-Q3;37
9/24/2011;2011;Sep;sep-2011;Q3;2011-Q3;38
9/17/2012;2012;Sep;sep-2012;Q3;2012-Q3;38
1/28/2013;2013;Jan;jan-2013;Q1;2013-Q1;5
2/20/2013;2013;Feb;feb-2013;Q1;2013-Q1;8
4/20/2013;2013;Apr;apr-2013;Q2;2013-Q2;16
8/29/2012;2012;Aug;aug-2012;Q3;2012-Q3;35
11/4/2012;2012;Nov;nov-2012;Q4;2012-Q4;44
2/4/2013;2013;Feb;feb-2013;Q1;2013-Q1;6
2/24/2013;2013;Feb;feb-2013;Q1;2013-Q1;8
6/25/2013;2013;Jun;jun-2013;Q2;2013-Q2;26
5/24/2013;2013;May;mei-2013;Q2;2013-Q2;21
8/14/2011;2011;Aug;aug-2011;Q3;2011-Q3;32
8/25/2011;2011;Aug;aug-2011;Q3;2011-Q3;34
8/16/2011;2011;Aug;aug-2011;Q3;2011-Q3;33
2/27/2013;2013;Feb;feb-2013;Q1;2013-Q1;9
8/19/2011;2011;Aug;aug-2011;Q3;2011-Q3;33
3/11/2013;2013;Mar;mrt-2013;Q1;2013-Q1;11
2/8/2013;2013;Feb;feb-2013;Q1;2013-Q1;6
1/2/2013;2013;Jan;jan-2013;Q1;2013-Q1;1
8/11/2011;2011;Aug;aug-2011;Q3;2011-Q3;32
3/8/2013;2013;Mar;mrt-2013;Q1;2013-Q1;10
8/20/2011;2011;Aug;aug-2011;Q3;2011-Q3;33
7/13/2011;2011;Jul;jul-2011;Q3;2011-Q3;28
7/8/2011;2011;Jul;jul-2011;Q3;2011-Q3;27
6/21/2013;2013;Jun;jun-2013;Q2;2013-Q2;25
3/14/2013;2013;Mar;mrt-2013;Q1;2013-Q1;11
6/14/2013;2013;Jun;jun-2013;Q2;2013-Q2;24
4/9/2012;2012;Apr;apr-2012;Q2;2012-Q2;15
3/21/2012;2012;Mar;mrt-2012;Q1;2012-Q1;12
3/9/2012;2012;Mar;mrt-2012;Q1;2012-Q1;10
10/15/2012;2012;Oct;okt-2012;Q4;2012-Q4;42
5/25/2012;2012;May;mei-2012;Q2;2012-Q2;21
5/12/2013;2013;May;mei-2013;Q2;2013-Q2;19
12/20/2012;2012;Dec;dec-2012;Q4;2012-Q4;51
5/28/2013;2013;May;mei-2013;Q2;2013-Q2;22
11/23/2012;2012;Nov;nov-2012;Q4;2012-Q4;47
3/20/2013;2013;Mar;mrt-2013;Q1;2013-Q1;12
1/20/2012;2012;Jan;jan-2012;Q1;2012-Q1;3
12/17/2011;2011;Dec;dec-2011;Q4;2011-Q4;50
7/1/2011;2011;Jul;jul-2011;Q3;2011-Q3;26
1/25/2013;2013;Jan;jan-2013;Q1;2013-Q1;4
9/7/2012;2012;Sep;sep-2012;Q3;2012-Q3;36
12/18/2011;2011;Dec;dec-2011;Q4;2011-Q4;50
12/25/2011;2011;Dec;dec-2011;Q4;2011-Q4;51
12/24/2011;2011;Dec;dec-2011;Q4;2011-Q4;51
6/26/2011;2011;Jun;jun-2011;Q2;2011-Q2;25
6/16/2011;2011;Jun;jun-2011;Q2;2011-Q2;24
5/24/2011;2011;May;mei-2011;Q2;2011-Q2;21
5/30/2011;2011;May;mei-2011;Q2;2011-Q2;22
2/5/2011;2011;Feb;feb-2011;Q1;2011-Q1;5
10/16/2011;2011;Oct;okt-2011;Q4;2011-Q4;41
10/31/2011;2011;Oct;okt-2011;Q4;2011-Q4;44
10/7/2011;2011;Oct;okt-2011;Q4;2011-Q4;40
2/1/2013;2013;Feb;feb-2013;Q1;2013-Q1;5
5/25/2011;2011;May;mei-2011;Q2;2011-Q2;21
5/17/2011;2011;May;mei-2011;Q2;2011-Q2;20
10/10/2012;2012;Oct;okt-2012;Q4;2012-Q4;41
2/15/2013;2013;Feb;feb-2013;Q1;2013-Q1;7
3/12/2013;2013;Mar;mrt-2013;Q1;2013-Q1;11
4/5/2013;2013;Apr;apr-2013;Q2;2013-Q2;14
5/4/2013;2013;May;mei-2013;Q2;2013-Q2;18
10/25/2012;2012;Oct;okt-2012;Q4;2012-Q4;43
4/4/2011;2011;Apr;apr-2011;Q2;2011-Q2;14
4/6/2013;2013;Apr;apr-2013;Q2;2013-Q2;14
12/3/2012;2012;Dec;dec-2012;Q4;2012-Q4;49
8/22/2012;2012;Aug;aug-2012;Q3;2012-Q3;34
7/10/2011;2011;Jul;jul-2011;Q3;2011-Q3;27
12/23/2012;2012;Dec;dec-2012;Q4;2012-Q4;51
4/11/2011;2011;Apr;apr-2011;Q2;2011-Q2;15
4/26/2011;2011;Apr;apr-2011;Q2;2011-Q2;17
4/8/2011;2011;Apr;apr-2011;Q2;2011-Q2;14
6/6/2011;2011;Jun;jun-2011;Q2;2011-Q2;23
7/21/2012;2012;Jul;jul-2012;Q3;2012-Q3;29
5/16/2011;2011;May;mei-2011;Q2;2011-Q2;20
1/7/2011;2011;Jan;jan-2011;Q1;2011-Q1;1
4/28/2011;2011;Apr;apr-2011;Q2;2011-Q2;17
3/16/2011;2011;Mar;mrt-2011;Q1;2011-Q1;11
4/1/2011;2011;Apr;apr-2011;Q2;2011-Q2;13
1/19/2013;2013;Jan;jan-2013;Q1;2013-Q1;3
1/23/2011;2011;Jan;jan-2011;Q1;2011-Q1;3
3/27/2011;2011;Mar;mrt-2011;Q1;2011-Q1;12
3/8/2011;2011;Mar;mrt-2011;Q1;2011-Q1;10
3/11/2011;2011;Mar;mrt-2011;Q1;2011-Q1;10
11/22/2012;2012;Nov;nov-2012;Q4;2012-Q4;47
2/23/2013;2013;Feb;feb-2013;Q1;2013-Q1;8
11/7/2012;2012;Nov;nov-2012;Q4;2012-Q4;45
2/22/2011;2011;Feb;feb-2011;Q1;2011-Q1;8
2/26/2011;2011;Feb;feb-2011;Q1;2011-Q1;8
2/25/2011;2011;Feb;feb-2011;Q1;2011-Q1;8
2/23/2011;2011;Feb;feb-2011;Q1;2011-Q1;8
2/2/2013;2013;Feb;feb-2013;Q1;2013-Q1;5
2/18/2011;2011;Feb;feb-2011;Q1;2011-Q1;7
5/14/2012;2012;May;mei-2012;Q2;2012-Q2;20
5/8/2011;2011;May;mei-2011;Q2;2011-Q2;18
5/2/2011;2011;May;mei-2011;Q2;2011-Q2;18
3/23/2012;2012;Mar;mrt-2012;Q1;2012-Q1;12
4/21/2012;2012;Apr;apr-2012;Q2;2012-Q2;16
1/6/2011;2011;Jan;jan-2011;Q1;2011-Q1;1
3/12/2012;2012;Mar;mrt-2012;Q1;2012-Q1;11
11/14/2011;2011;Nov;nov-2011;Q4;2011-Q4;46
7/10/2012;2012;Jul;jul-2012;Q3;2012-Q3;28
5/18/2012;2012;May;mei-2012;Q2;2012-Q2;20
6/15/2013;2013;Jun;jun-2013;Q2;2013-Q2;24
11/13/2011;2011;Nov;nov-2011;Q4;2011-Q4;45
2/4/2011;2011;Feb;feb-2011;Q1;2011-Q1;5
9/16/2011;2011;Sep;sep-2011;Q3;2011-Q3;37
4/14/2012;2012;Apr;apr-2012;Q2;2012-Q2;15
10/11/2012;2012;Oct;okt-2012;Q4;2012-Q4;41
2/24/2011;2011;Feb;feb-2011;Q1;2011-Q1;8
3/27/2013;2013;Mar;mrt-2013;Q1;2013-Q1;13
6/16/2013;2013;Jun;jun-2013;Q2;2013-Q2;24
2/15/2012;2012;Feb;feb-2012;Q1;2012-Q1;7
1/31/2012;2012;Jan;jan-2012;Q1;2012-Q1;5
4/15/2013;2013;Apr;apr-2013;Q2;2013-Q2;16
9/6/2012;2012;Sep;sep-2012;Q3;2012-Q3;36
3/19/2013;2013;Mar;mrt-2013;Q1;2013-Q1;12
1/4/2011;2011;Jan;jan-2011;Q1;2011-Q1;1
1/18/2011;2011;Jan;jan-2011;Q1;2011-Q1;3
1/21/2011;2011;Jan;jan-2011;Q1;2011-Q1;3
2/12/2013;2013;Feb;feb-2013;Q1;2013-Q1;7
1/15/2011;2011;Jan;jan-2011;Q1;2011-Q1;2
1/3/2011;2011;Jan;jan-2011;Q1;2011-Q1;1
9/8/2012;2012;Sep;sep-2012;Q3;2012-Q3;36
1/9/2011;2011;Jan;jan-2011;Q1;2011-Q1;1
1/8/2011;2011;Jan;jan-2011;Q1;2011-Q1;1
9/26/2012;2012;Sep;sep-2012;Q3;2012-Q3;39
12/27/2012;2012;Dec;dec-2012;Q4;2012-Q4;52
1/6/2013;2013;Jan;jan-2013;Q1;2013-Q1;1
10/6/2012;2012;Oct;okt-2012;Q4;2012-Q4;40
8/25/2012;2012;Aug;aug-2012;Q3;2012-Q3;34
2/3/2013;2013;Feb;feb-2013;Q1;2013-Q1;5
8/24/2012;2012;Aug;aug-2012;Q3;2012-Q3;34
8/4/2012;2012;Aug;aug-2012;Q3;2012-Q3;31
4/10/2013;2013;Apr;apr-2013;Q2;2013-Q2;15
5/9/2013;2013;May;mei-2013;Q2;2013-Q2;19
9/3/2012;2012;Sep;sep-2012;Q3;2012-Q3;36
5/9/2012;2012;May;mei-2012;Q2;2012-Q2;19
11/21/2011;2011;Nov;nov-2011;Q4;2011-Q4;47
4/9/2011;2011;Apr;apr-2011;Q2;2011-Q2;14
8/17/2011;2011;Aug;aug-2011;Q3;2011-Q3;33
8/12/2011;2011;Aug;aug-2011;Q3;2011-Q3;32
3/21/2011;2011;Mar;mrt-2011;Q1;2011-Q1;12
5/26/2012;2012;May;mei-2012;Q2;2012-Q2;21
9/28/2012;2012;Sep;sep-2012;Q3;2012-Q3;39
3/23/2013;2013;Mar;mrt-2013;Q1;2013-Q1;12
